,level_0,index,answerKey,question,choices,A,B,C,D,full_question,full_question_test,res_finetuned
311,311,1147,D,All the power tools like the drill used for fixing cars made for a very loud workplace where?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['basement', 'work shop', 'tool shed', 'repair shop', 'store room'],
      dtype=object)}",basement,work shop,tool shed,repair shop,,"Question: All the power tools like the drill used for fixing cars made for a very loud workplace where? (A) basement (B) work shop (C) tool shed (D) repair shop. 
The correct response is: "," (B) work shop  
The noise level in a work shop is higher due to power tools like drills, which makes it a noisier workplace compared to a basement or tool shed which is generally quieter"
312,312,198,C,If a person with mental illness stops treatment what will likely happen?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['managed', 'dancing', 'recur', 'effectively treated',
       'cause suffering'], dtype=object)}",managed,dancing,recur,effectively treated,,"Question: If a person with mental illness stops treatment what will likely happen? (A) managed (B) dancing (C) recur (D) effectively treated. 
The correct response is: "," (C) recur 
The person will likely experience a relapse of symptoms 
The person will likely experience a relapse of symptoms if they stop treatment for mental illness. This means that without treatment, the illness will likely worsen and"
313,313,613,A,Why would you take a bus to work?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['commute', 'flying', 'get somewhere', 'travel', 'go home'],
      dtype=object)}",commute,flying,get somewhere,travel,,"Question: Why would you take a bus to work? (A) commute (B) flying (C) get somewhere (D) travel. 
The correct response is: "," (A) commute  
The reason is: All of these 
The correct response is: All of these 
The reason is: All of these 
The correct response is: All of these 
The reason is: All of these 
The correct response is: All"
314,314,898,B,"I listened to lecture intensely, what is my goal?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gain confidence', 'concentrate', 'get attention', 'pay attention',
       'stop talking'], dtype=object)}",gain confidence,concentrate,get attention,pay attention,,"Question: I listened to lecture intensely, what is my goal? (A) gain confidence (B) concentrate (C) get attention (D) pay attention. 
The correct response is: "," (D) pay attention  
The lecturer notes that the student has the ability to: (A) focus (B) concentrate (C) listen (D) hear 
The correct response is: (A) focus "
315,315,727,C,Where can books be read?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['cabinet', 'backpack', 'table', 'shelf', 'sink'], dtype=object)}",cabinet,backpack,table,shelf,,"Question: Where can books be read? (A) cabinet (B) backpack (C) table (D) shelf. 
The correct response is: ","2) backpack  
The item in the backpack may be: 3) table 
The correct response is: 3) table 
The item in the table may be: (D) shelf 
The correct response is: (D) shelf 
The item on the"
316,316,561,B,Riding a bike for a long time can cause what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['enjoyment', 'fatigue', 'falling down', 'getting lost', 'thirst'],
      dtype=object)}",enjoyment,fatigue,falling down,getting lost,,"Question: Riding a bike for a long time can cause what? (A) enjoyment (B) fatigue (C) falling down (D) getting lost. 
The correct response is: "," (B) fatigue  
The exhaustion that one might feel after riding a bike for a long time is caused by  (A) enjoyment  [N] 
The correct response is: (B) fatigue  [N] "
317,317,29,B,Committing perjury is a serious what?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['indictment', 'crime', 'violence', 'lie', 'go to jail'],
      dtype=object)}",indictment,crime,violence,lie,,"Question: Committing perjury is a serious what? (A) indictment (B) crime (C) violence (D) lie. 
The correct response is: "," (B) crime 
The lying under oath is a criminal act 
The lying under oath is a criminal act, therefore it is a serious crime 
The lying under oath is a criminal act, therefore it is a serious crime 
The lying under oath is a"
318,318,1216,A,What would you do to a rock when climb up a cliff?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['grab', 'look down', 'throw', 'falling', 'may fall'], dtype=object)}",grab,look down,throw,falling,,"Question: What would you do to a rock when climb up a cliff? (A) grab (B) look down (C) throw (D) falling. 
The correct response is: "," (C) throw  
The rock could be used as a  (A) throwable item  (B) food source (C) shelter (D) clothing item 
The correct response is:  (A) throwable item  
The rock"
319,319,709,B,How does a person begin reproducing?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['genetic mutation', 'have sex', 'kiss', 'flirting',
       'going on a date'], dtype=object)}",genetic mutation,have sex,kiss,flirting,,"Question: How does a person begin reproducing? (A) genetic mutation (B) have sex (C) kiss (D) flirting. 
The correct response is: "," (B) have sex 
The reproduction process begins with: (A) genetic mutation 
The reproduction process ends with: (C) kiss 
The reproduction process includes: (D) flirting 
The reproduction process begins with: ("
320,320,425,B,"The coach decided to make a lineup change, the team's effort was suffering from what?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['stagnant', 'stagnation', 'tradition', 'hunger', 'paper money'],
      dtype=object)}",stagnant,stagnation,tradition,hunger,,"Question: The coach decided to make a lineup change, the team's effort was suffering from what? (A) stagnant (B) stagnation (C) tradition (D) hunger. 
The correct response is: "," (A) stagnant  
The team was suffering from stagnation because of the change made by the coach 
The team's effort was stalling due to the change made by the coach 
The team"
321,321,872,B,Where does lettuce arrive by large trucks?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['kitchen', 'supermarket', ""farmer's market"", 'salad',
       'refrigerator'], dtype=object)}",kitchen,supermarket,farmer's market,salad,,"Question: Where does lettuce arrive by large trucks? (A) kitchen (B) supermarket (C) farmer's market (D) salad. 
The correct response is: "," (B) supermarket 
The lettuce is transported to a supermarket, where it is stocked in the produce section. 
The lettuce is transported in refrigerated trucks to keep it fresh. 
Once the lettuce"
322,322,5,C,What island country is ferret popular?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['own home', 'north carolina', 'great britain', 'hutch', 'outdoors'],
      dtype=object)}",own home,north carolina,great britain,hutch,,"Question: What island country is ferret popular? (A) own home (B) north carolina (C) great britain (D) hutch. 
The correct response is: "," (C) great britain  
The ferret is popular in Great Britain, but not in other countries like the United States where they are considered domesticated animals and are not allowed to be kept as pets in some states. 
The ferret is a domesticated"
323,323,757,A,"I want to see a prepared slide up close, what would I use to help?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['microscope', 'abbreviate', 'glasses', 'camera', 'telescope'],
      dtype=object)}",microscope,abbreviate,glasses,camera,,"Question: I want to see a prepared slide up close, what would I use to help? (A) microscope (B) abbreviate (C) glasses (D) camera. 
The correct response is: "," (A) microscope  
The microscope will help the scientist to see a prepared slide better by enlarging it  (A) microscope (B) abbreviate (C) glasses (D)"
324,324,753,B,What will likely happen after stabbing to death a person?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['gruesome', 'being arrested', 'pool of blood', 'mess', 'grisly'],
      dtype=object)}",gruesome,being arrested,pool of blood,mess,,"Question: What will likely happen after stabbing to death a person? (A) gruesome (B) being arrested (C) pool of blood (D) mess. 
The correct response is: "," (D) mess  
The person who killed another person will likely be arrested after committing the crime, but before killing another person almost always results in a: (A) gruesome (B) being arrested (C) pool of blood (D) mess "
325,325,1172,D,Where is the closest place from where you could borrow salt?,"{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['ocean water', 'table', 'shaker', ""neighbor's house"", 'lake'],
      dtype=object)}",ocean water,table,shaker,neighbor's house,,"Question: Where is the closest place from where you could borrow salt? (A) ocean water (B) table (C) shaker (D) neighbor's house. 
The correct response is: "," (D) neighbor's house 
The closest place from where you could borrow salt is: neighbor's house 
The correct response is: (D) neighbor's house 
The closest place from where you could borrow salt is: neighbor's house"
326,326,871,D,"If a storey contained a panoramic view, what kind of structure would it be in?","{'label': array(['A', 'B', 'C', 'D', 'E'], dtype=object), 'text': array(['horizontal room', 'storey book', 'mall', 'tall building',
       'book of stories'], dtype=object)}",horizontal room,storey book,mall,tall building,,"Question: If a storey contained a panoramic view, what kind of structure would it be in? (A) horizontal room (B) storey book (C) mall (D) tall building. 
The correct response is: "," (D) tall building 
The storey contains a view of the outside, so it must be in a tall building  (A) horizontal room does not exist (B) horizontal room does not exist (C) m"
